Gebiet;2007;2009;2011
Zentrum;73;62;49
Zentrum-Ost;130;131;113
Zentrum-Südost;640;724;752
Zentrum-Süd;438;424;368
Zentrum-West;446;472;404
Zentrum-Nordwest;278;225;206
Zentrum-Nord;333;354;332
Schönefeld-Abtnaundorf;925;984;1054
Schönefeld-Ost;532;615;563
Mockau-Süd;365;318;389
Mockau-Nord;590;616;614
Thekla;199;211;219
Plaußig-Portitz;67;49;32
Neustadt-Neuschönefeld;1211;1352;1306
Volksmarsdorf;1205;1256;1211
Anger-Crottendorf;928;1000;923
Sellerhausen-Stünz;511;503;534
Paunsdorf;1227;1349;1261
Heiterblick;132;97;83
Mölkau;151;134;107
Engelsdorf;309;319;252
Baalsdorf;30;29;19
Althen-Kleinpösna;67;53;51
Reudnitz-Thonberg;1442;1361;1329
Stötteritz;892;888;824
Probstheida;225;209;222
Meusdorf;159;152;121
Liebertwolkwitz;229;208;180
Holzhausen;197;175;153
Südvorstadt;1121;982;802
Connewitz;1128;1087;954
Marienbrunn;162;140;144
Lnig;687;729;704
Dölitz-Dösen;264;222;202
Schleußig;571;501;396
Plagwitz;941;1003;946
Kleinzschocher;843;964;859
Großzschocher;486;479;411
Knautkleeberg-Knauthain;169;143;98
Hartmannsdorf-Knautnaundorf;36;25;26
Schönau;407;433;354
Grünau-Ost;498;475;431
Grünau-Mitte;1132;1250;1081
Grünau-Siedlung;82;100;71
Lausen-Grünau;969;1018;899
Grünau-Nord;882;904;825
Miltitz;65;50;52
Lindenau;654;709;628
Altlindenau;1468;1562;1468
Neulindenau;461;500;467
Leutzsch;630;663;642
Böhlitz-Ehrenberg;458;446;418
Burghausen-Rückmarsdorf;103;95;80
Möckern;978;1091;1072
Wahren;360;347;322
Lützschena-Stahmeln;122;96;116
Lindenthal;153;214;209
Gohlis-Süd;891;866;811
Gohlis-Mitte;733;748;636
Gohlis-Nord;411;420;483
Eutritzsch;791;904;830
Seehausen;76;46;44
Wiederitzsch;213;189;147
