Ortsteil;2007;2009;2011
Zentrum;14.1;6.5;0
Zentrum-Ost;16.1;11.3;0
Zentrum-Südost;34.8;31.3;25.8
Zentrum-Süd;17.7;10.6;8.4
Zentrum-West;20.1;15.6;8
Zentrum-Nordwest;7.9;4.9;3.4
Zentrum-Nord;18.1;13.4;10.4
Schönefeld-Abtnaundorf;37.1;34.6;30.4
Schönefeld-Ost;31.4;30.2;29.6
Mockau-Süd;33.4;32.1;30.3
Mockau-Nord;25.8;26.9;22.3
Thekla;17.3;17;13.4
Plaußig-Portitz;6.6;5.4;4
Neustadt-Neuschönefeld;42.4;41.6;35.9
Volksmarsdorf;45.7;44.7;39.4
Anger-Crottendorf;33.3;29.9;26.8
Sellerhausen-Stünz;33;26.6;28.1
Paunsdorf;37.1;32.9;31.7
Heiterblick;9.8;10.2;6.7
Mölkau;8.5;6.1;4.9
Engelsdorf;12.6;11.5;8.1
Baalsdorf;4.1;6;4.1
Althen-Kleinpösna;10.5;8.9;7.7
Reudnitz-Thonberg;32.8;27.8;24.6
Stötteritz;20.5;17.4;15.3
Probstheida;11.5;9.8;9.4
Meusdorf;14.7;11.5;7.3
Liebertwolkwitz;15.7;12.9;9.7
Holzhausen;10.5;8;6.7
Südvorstadt;16.4;11.7;8.5
Connewitz;24.4;20.2;15.4
Marienbrunn;11.5;10.2;8.9
Lößnig;27;26.9;23.2
Dölitz-Dösen;21.3;17.9;14.7
Schleußig;14.5;10.2;7.7
Plagwitz;22;26.5;21.4
Kleinzschocher;39.6;36.1;31.2
Grzschocher;22.9;21.2;15.7
Knautkleeberg-Knauthain;8.4;68;5.3
Hartmannsdorf-Knautnaundorf;13.1;8.6;5.8
Schönau;30.9;32.1;25.5
Grünau-Ost;39.6;37.9;32
Grünau-Mitte;37.6;35.8;33
Grünau-Siedlung;7.5;8.7;5.9
Lausen-Grünau;32.1;29.2;25.3
Grünau-Nord;39.6;36.1;33.1
Miltitz;13;9.1;8.3
Lindenau;42.2;37.1;30.4
Altlindenau;36.3;34.5;31.3
Neulindenau;33.7;29.3;26.1
Leutzsch;23.1;21.6;19.2
Böhlitz-Ehrenberg;17.7;14;13.3
Burghausen-Rückmarsdorf;7.9;5.8;5.3
Möckern;32.1;31.9;27.9
Wahren;23.5;19.8;14.2
Lützschena-Stahmeln;6.8;4.9;5.3
Lindenthal;8;10.3;10.6
Gohlis-Süd;17.6;14.4;11.8
Gohlis-Mitte;17.3;14.8;11
Gohlis-Nord;28.6;23.8;23.8
Eutritzsch;27.2;24.2;21.2
Seehausen;8.6;5.5;4.6
Wiederitzsch;6.5;5.3;4.5
