Zentrum;10.25
Zentrum-Ost;22.37
Zentrum-Südost;22.35
Zentrum-Süd;12.5
Zentrum-West;10.27
Zentrum-Nordwest;7.32
Zentrum-Nord;7.31
Schönefeld-Abtnaundorf;2.19
Schönefeld-Ost;2.19
Mockau-Süd;1.3
Mockau-Nord;0.89
Thekla;0.86
Plaußig-Portitz;0.86
Neustadt-Neuschönefeld;9.12
Volkmarsdorf;9.11
Anger-Crottendorf;5.6
Sellerhausen-Stünz;4.43
Paunsdorf;1.03
Heiterblick;1.09
Mölkau;0.92
Engelsdorf;1.02
Baalsdorf;0.92
Althen-Kleinpösna;1.02
Reudnitz-Thonberg;15.25
Stötteritz;4.86
Probstheida;1.08
Meusdorf;1.08
Liebertwolkwitz;0.57
Holzhausen;0.58
Südvorstadt;11.86
Connewitz;6.51
Marienbrunn;6.5
Lößnig;4.65
Dölitz-Dösen;4.65
Schleußig;7.19
Plagwitz;7.2
Kleinzschocher;5.58
Großzschocher;0.82
Knautkleeberg-Knauthain;0.82
Hartmannsdorf-Knautnaundorf;0.82
Schönau;1.48
Grünau-Ost;1.8
Grünau-Mitte;1.8
Grünau-Siedlung;0.74
Lausen-Grünau;0.74
Grünau-Nord;1.48
Miltitz;1.48
Lindenau;8.49
Altlindenau;8.5
Neulindenau;1.94
Leutzsch;1.94
Böhlitz-Ehrenberg;0.87
Burghausen-Rückmarsdorf;0.87
Möckern;1.31
Wahren;1.31
Lützschena-Stahmeln;1.15
Lindenthal;0.98
Gohlis-Süd;4.4
Gohlis-Mitte;2.26
Gohlis-Nord;2.26
Eutritzsch;2.4
Seehausen;0.08
Wiederitzsch;0.53
