Gebiet;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Zentrum;2209;2007;2007;2004;2010;2088;2102;2102;2180;2337;2346;2390
Zentrum-Ost;1462;1456;1465;1439;1434;1437;1457;1454;1487;1493;1495;1522
Zentrum-Südost;2006;1991;1994;2005;2005;2007;2007;2016;2018;2059;2060;2060
Zentrum-Süd;4281;4275;4265;4249;4215;4234;4237;4251;4261;4264;4275;4277
Zentrum-West;3332;3405;3397;3377;3463;3456;3455;3460;3488;3495;3552;3558
Zentrum-Nordwest;1197;1207;1212;1212;1211;1215;1221;1223;1236;1297;1303;1303
Zentrum-Nord;3329;3332;3342;3338;3347;3348;3367;3371;3371;3413;3424;3435
Schönefeld-Abtnaundorf;2499;2502;2492;2475;2440;2438;2434;2438;2440;2447;2449;2448
Schönefeld-Ost;1855;1858;1819;1821;1822;1823;1793;1795;1797;1798;1798;1799
Mockau-Süd;2403;2418;2425;2425;2425;2425;2420;2420;2410;2408;2419;2420
Mockau-Nord;1565;1569;1535;1533;1532;1477;1471;1454;1453;1456;1457;1459
Thekla;499;501;501;508;510;511;494;482;480;481;480;480
Plaußig-Portitz;142;144;147;148;149;151;152;154;154;155;155;156
Neustadt-Neuschönefeld;8427;8396;8353;8272;8194;8196;8159;8118;8101;8078;8081;8096
Volksmarsdorf;6495;6474;6396;6373;6363;6348;6332;6313;6296;6298;6293;6297
Anger-Crottendorf;3669;3682;3728;3659;3607;3611;3613;3612;3606;3608;3611;3615
Sellerhausen-Stünz;1753;1755;1754;1756;1746;1746;1744;1744;1744;1745;1745;1746
Paunsdorf;2399;2408;2413;2415;2379;2373;2375;2367;2368;2370;2370;2370
Heiterblick;453;473;464;471;485;491;502;506;506;509;511;513
Mölkau;480;507;513;516;519;520;523;524;527;529;530;532
Engelsdorf;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;530;538
Baalsdorf;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;189;192
Althen-Kleinpösna;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;102;102
Reudnitz-Thonberg;5011;4986;4977;4974;4964;4963;4953;4965;4983;4993;4994;5008
Stötteritz;2466;2476;2485;2490;2498;2499;2512;2482;2478;2486;2488;2496
Probstheida;703;715;713;711;712;713;708;712;721;720;721;725
Meusdorf;926;927;928;933;938;938;848;850;851;854;859;863
Liebertwolkwitz;256;262;263;265;267;268;270;272;274;275;276;279
Holzhausen;237;239;241;242;243;244;245;246;248;250;251;252
Südvorstadt;4847;4900;4894;4927;4930;4931;4950;4968;4978;4980;4981;5013
Connewitz;1349;1353;1358;1358;1360;1364;1366;1373;1377;1379;1383;1382
Marienbrunn;2442;2440;2440;2439;2439;2428;2356;2356;2358;2359;2359;2359
Lößnig;3723;3723;3735;3730;3729;3729;3628;3628;3629;3643;3643;3646
Dölitz-Dösen;561;568;569;547;548;549;550;547;548;556;556;558
Schleig;2778;2800;2836;2818;2827;2859;2872;2880;2886;2900;2901;2907
Plagwitz;4544;4644;4587;4620;4631;4627;4629;4634;4637;4646;4645;4682
Kleinzschocher;2027;2018;2001;1994;1988;1989;1987;1983;1981;1982;1980;1981
Grzschocher;331;333;335;334;334;335;335;336;336;337;337;339
Knautkleeberg-Knauthain;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;319;320
Hartmannsdorf-Knautnaundorf;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;n.e.;35;35
Schönau;972;972;973;889;894;902;912;916;920;922;923;927
Grünau-Ost;4694;4694;4574;4456;4456;4456;4459;4459;4459;4459;4459;4459
Grünau-Mitte;7317;7209;7106;7101;7101;6734;6734;6640;6640;6567;6567;6567
Grünau-Siedlung;1120;1137;1150;1169;1193;1211;1075;1077;1081;1086;1091;1096
Lausen-Grünau;2807;2808;2751;2669;2670;2635;2595;2384;2388;2390;2394;2395
Grünau-Nord;7341;7341;7341;7203;7150;7070;6940;6940;6192;6034;6038;5931
Miltitz;233;238;240;241;242;254;256;257;257;257;257;258
Lindenau;4278;4274;4243;4164;4115;4121;4110;4116;4120;4129;4143;4126
Altlindenau;4245;4234;4234;4229;4226;4228;4236;4226;4225;4225;4220;4196
Neulindenau;1676;1670;1669;1662;1664;1664;1673;1673;1673;1674;1675;1677
Leutzsch;1161;1163;1161;1164;1165;1163;1164;1168;1170;1169;1172;1175
Böhlitz-Ehrenberg;563;571;574;577;584;589;593;596;598;599;601;604
Burghausen-Rückmarsdorf;256;258;261;266;271;273;275;277;279;281;282;285
Möckern;1957;1962;1958;1945;1944;1941;1880;1880;1890;1889;1889;1894
Wahren;838;838;824;823;827;829;830;831;836;837;840;841
Lützschena-Stahmeln;92;95;96;97;100;101;101;102;102;103;103;103
Lindenthal;187;191;192;193;195;196;198;199;200;202;202;203
Gohlis-Süd;4712;4640;4647;4663;4655;4708;4735;4753;4789;4832;4856;4863
Gohlis-Mitte;6982;6997;7000;7017;6981;6984;6995;6991;6989;7007;7014;7044
Gohlis-Nord;2278;2278;2278;2286;2290;2291;2292;2310;2335;2351;2371;2414
Eutritzsch;1799;1802;1805;1862;1845;1849;1808;1783;1791;1799;1796;1797
Seehausen;39;40;41;41;42;42;42;42;44;44;44;44
Wiederitzsch;256;318;323;330;337;341;348;352;354;356;356;357
Alle Angaben in Jahre;;;;;;;;;;;;
Angaben für Einwohner mit Hauptwohnsitz;;;;;;;;;;;;
Quelle: Ordnungsamt Leipzig (Einwohnerregister);;;;;;;;;;;;
Stand: 31.12.;;;;;;;;;;;;
